"Time","43666.distinct"
2019-02-07 03:00:00,3.3
2019-02-07 03:00:00,3.3
2019-02-07 03:00:00,3.3
2019-02-07 03:00:00,3.3
2019-02-14 03:00:00,3.3
2019-02-14 03:00:00,3.3
2019-02-14 03:00:00,3.3
2019-02-14 03:00:00,3.3
2019-02-14 03:00:00,3.3
2019-02-14 03:00:00,3.3
2019-02-21 03:00:00,3.3
2019-02-21 03:00:00,3.3
2019-02-21 03:00:00,3.3
2019-02-21 03:00:00,3.3
2019-02-28 03:00:00,3.3
2019-02-28 03:00:00,3.3
2019-02-28 03:00:00,3.3
2019-02-28 03:00:00,3.3
2019-02-28 03:00:00,3.3
2019-02-28 03:00:00,3.3
2019-02-28 03:00:00,3.3
2019-02-28 03:00:00,3.3
2019-03-07 03:00:00,3.3
2019-03-07 03:00:00,3.3
2019-03-07 03:00:00,3.3
2019-03-07 03:00:00,3.3
2019-03-14 03:00:00,3.3
2019-03-14 03:00:00,3.3
2019-03-14 03:00:00,3.3
2019-03-21 03:00:00,3.3
2019-03-21 03:00:00,3.3
2019-03-21 03:00:00,3.3
2019-03-21 03:00:00,3.3
2019-03-21 03:00:00,3.3
2019-03-21 03:00:00,3.3
2019-03-28 03:00:00,3.3
2019-03-28 03:00:00,3.3
2019-03-28 03:00:00,3.3
2019-03-28 03:00:00,3.3
2019-03-28 03:00:00,3.3
2019-03-28 03:00:00,3.3
2019-04-04 03:00:00,3.3
2019-04-04 03:00:00,3.3
2019-04-04 03:00:00,3.3
2019-04-04 03:00:00,3.3
2019-04-04 03:00:00,3.3
2019-04-11 03:00:00,3.3
2019-04-11 03:00:00,3.3
2019-04-11 03:00:00,3.3
2019-04-11 03:00:00,3.3
2019-04-11 03:00:00,3.3
2019-04-11 03:00:00,3.3
2019-04-11 03:00:00,3.3
2019-04-11 03:00:00,3.3
2019-04-18 03:00:00,3.3
2019-04-18 03:00:00,3.3
2019-04-18 03:00:00,3.3
2019-04-18 03:00:00,3.3
2019-04-18 03:00:00,3.3
2019-04-25 03:00:00,3.3
2019-04-25 03:00:00,3.3
2019-04-25 03:00:00,3.3
2019-04-25 03:00:00,3.3
2019-04-25 03:00:00,3.3
2019-05-02 03:00:00,3.3
2019-05-02 03:00:00,3.3
2019-05-02 03:00:00,3.3
2019-05-02 03:00:00,3.3
2019-05-02 03:00:00,3.3
2019-05-09 03:00:00,3.3
2019-05-09 03:00:00,3.3
2019-05-09 03:00:00,3.3
2019-05-09 03:00:00,3.3
2019-05-09 03:00:00,3.3
2019-05-09 03:00:00,3.3
2019-05-16 03:00:00,3.3
2019-05-16 03:00:00,3.3
2019-05-16 03:00:00,3.3
2019-05-16 03:00:00,3.3
2019-05-16 03:00:00,3.3
2019-05-16 03:00:00,3.3
2019-05-23 03:00:00,3.3
2019-05-23 03:00:00,3.3
2019-05-23 03:00:00,3.3
2019-05-23 03:00:00,3.3
2019-05-23 03:00:00,3.3
2019-05-30 03:00:00,3.3
2019-05-30 03:00:00,3.3
2019-05-30 03:00:00,3.3
2019-05-30 03:00:00,3.3
2019-05-30 03:00:00,3.3
2019-06-06 03:00:00,3.3
2019-06-06 03:00:00,3.3
2019-06-06 03:00:00,3.3
2019-06-06 03:00:00,3.3
2019-06-06 03:00:00,3.3
2019-06-13 03:00:00,3.3
2019-06-13 03:00:00,3.3
2019-06-13 03:00:00,3.3
2019-06-13 03:00:00,3.3
2019-06-13 03:00:00,3.3
2019-06-13 03:00:00,3.3
2019-06-20 03:00:00,3.3
2019-06-20 03:00:00,3.3
2019-06-20 03:00:00,3.3
2019-06-20 03:00:00,3.3
2019-06-20 03:00:00,3.3
2019-06-20 03:00:00,3.3
2019-06-27 03:00:00,3.3
2019-06-27 03:00:00,3.3
2019-06-27 03:00:00,3.3
2019-06-27 03:00:00,3.3
2019-06-27 03:00:00,3.3
2019-06-27 03:00:00,3.3
2019-06-27 03:00:00,3.3
