"Time","43666.distinct"
2019-02-07 03:00:00,9.3
2019-02-07 03:00:00,9.3
2019-02-07 03:00:00,9.3
2019-02-07 03:00:00,9.2
2019-02-07 03:00:00,9.3
2019-02-07 03:00:00,9.3
2019-02-07 03:00:00,9.4
2019-02-07 03:00:00,9.3
2019-02-07 03:00:00,9.2
2019-02-07 03:00:00,9.4
2019-02-07 03:00:00,9.3
2019-02-07 03:00:00,9.3
2019-02-07 03:00:00,9.6
2019-02-07 03:00:00,9.6
2019-02-07 03:00:00,9.4
2019-02-07 03:00:00,9.4
2019-02-07 03:00:00,9.5
2019-02-07 03:00:00,9.6
2019-02-07 03:00:00,9.5
2019-02-07 03:00:00,9.2
2019-02-07 03:00:00,9.6
2019-02-07 03:00:00,9.6
2019-02-14 03:00:00,9.3
2019-02-14 03:00:00,9.4
2019-02-14 03:00:00,9.3
2019-02-14 03:00:00,9.3
2019-02-14 03:00:00,9.3
2019-02-14 03:00:00,9.4
2019-02-14 03:00:00,9.4
2019-02-14 03:00:00,9.5
2019-02-14 03:00:00,9.6
2019-02-14 03:00:00,8.2
2019-02-14 03:00:00,9.2
2019-02-14 03:00:00,9.2
2019-02-14 03:00:00,9.5
2019-02-14 03:00:00,9.3
2019-02-14 03:00:00,9.3
2019-02-14 03:00:00,9.3
2019-02-14 03:00:00,9.3
2019-02-14 03:00:00,9.6
2019-02-14 03:00:00,9.2
2019-02-14 03:00:00,9.6
2019-02-14 03:00:00,9.3
2019-02-14 03:00:00,9.4
2019-02-14 03:00:00,9.4
2019-02-14 03:00:00,9.6
2019-02-14 03:00:00,9.2
2019-02-14 03:00:00,9.2
2019-02-14 03:00:00,9.5
2019-02-14 03:00:00,9.3
2019-02-14 03:00:00,9.3
2019-02-14 03:00:00,9.7
2019-02-14 03:00:00,9.5
2019-02-14 03:00:00,9.2
2019-02-14 03:00:00,9.3
2019-02-14 03:00:00,9.3
2019-02-14 03:00:00,9.3
2019-02-14 03:00:00,9.6
2019-02-21 03:00:00,9.3
2019-02-21 03:00:00,9.3
2019-02-21 03:00:00,9.3
2019-02-21 03:00:00,9.3
2019-02-21 03:00:00,9.3
2019-02-21 03:00:00,9.2
2019-02-21 03:00:00,9.3
2019-02-21 03:00:00,9.6
2019-02-21 03:00:00,9.2
2019-02-21 03:00:00,9.3
2019-02-21 03:00:00,9.6
2019-02-21 03:00:00,9.6
2019-02-21 03:00:00,9.3
2019-02-21 03:00:00,9.3
2019-02-21 03:00:00,9.2
2019-02-21 03:00:00,8.2
2019-02-21 03:00:00,9.4
2019-02-21 03:00:00,8.1
2019-02-21 03:00:00,9.5
2019-02-21 03:00:00,8.2
2019-02-21 03:00:00,9.6
2019-02-21 03:00:00,9.5
2019-02-21 03:00:00,9.4
2019-02-21 03:00:00,9.3
2019-02-21 03:00:00,9.3
2019-02-21 03:00:00,7.9
2019-02-28 03:00:00,9.3
2019-02-28 03:00:00,9.3
2019-02-28 03:00:00,9.3
2019-02-28 03:00:00,9.3
2019-02-28 03:00:00,9.4
2019-02-28 03:00:00,9.3
2019-02-28 03:00:00,9.5
2019-02-28 03:00:00,9.2
2019-02-28 03:00:00,9.3
2019-02-28 03:00:00,9.5
2019-02-28 03:00:00,9.3
2019-02-28 03:00:00,8.2
2019-02-28 03:00:00,9.6
2019-02-28 03:00:00,8.5
2019-02-28 03:00:00,9.1
2019-02-28 03:00:00,9.5
2019-02-28 03:00:00,9.3
2019-02-28 03:00:00,9.3
2019-02-28 03:00:00,9.6
2019-02-28 03:00:00,9.3
2019-02-28 03:00:00,8.6
2019-02-28 03:00:00,9.4
2019-02-28 03:00:00,9.3
2019-02-28 03:00:00,9.6
2019-02-28 03:00:00,9.6
2019-02-28 03:00:00,9.5
2019-02-28 03:00:00,9.6
2019-02-28 03:00:00,9.3
2019-02-28 03:00:00,9.6
2019-02-28 03:00:00,9.5
2019-02-28 03:00:00,9.4
2019-02-28 03:00:00,9.3
2019-02-28 03:00:00,9.2
2019-02-28 03:00:00,9.4
2019-02-28 03:00:00,9.2
2019-02-28 03:00:00,9.6
2019-02-28 03:00:00,9.5
2019-02-28 03:00:00,9.5
2019-02-28 03:00:00,9.4
2019-02-28 03:00:00,9.6
2019-02-28 03:00:00,9.2
