"Time","PDD Power:"
2019-06-29 02:14:56,false
2019-06-29 02:15:11,false
2019-06-29 06:17:11,false
2019-06-29 06:18:41,false
2019-06-30 02:12:43,false
2019-06-30 04:40:58,false
2019-06-30 22:18:39,false
2019-07-01 07:27:10,false
2019-07-02 02:17:42,false
2019-07-02 02:20:27,false
2019-07-02 02:21:12,false
2019-07-02 05:47:27,false
2019-07-02 05:49:42,false
2019-07-02 05:50:12,false
2019-07-03 02:24:23,false
2019-07-03 02:24:23,false
2019-07-03 19:09:10,false
2019-07-04 00:02:55,false
2019-07-04 00:03:55,false
2019-07-04 04:11:40,false
2019-07-04 06:30:26,false
2019-07-05 02:27:22,false
2019-07-05 03:11:52,false
2019-07-05 03:12:37,false
2019-07-05 03:14:22,false
2019-07-05 03:14:52,false
2019-07-06 20:50:56,false
2019-07-06 20:51:26,false
2019-07-06 20:52:41,false
2019-07-06 20:53:26,false
2019-07-06 20:53:41,false
2019-07-06 20:53:56,false
2019-07-07 01:31:52,false
2019-07-07 01:32:52,false
2019-07-07 01:33:37,false
2019-07-07 01:34:07,false
2019-07-07 01:34:22,false
2019-07-07 01:35:37,false
2019-07-07 01:37:22,false
2019-07-07 01:37:37,false
2019-07-07 06:34:38,false
2019-07-07 08:15:38,false
2019-07-07 21:01:24,false
2019-07-07 22:35:25,false
2019-07-07 22:35:40,false
2019-07-07 22:36:25,false
2019-07-07 22:36:40,false
2019-07-08 00:52:40,false
2019-07-08 00:54:40,false
2019-07-08 01:32:10,false
2019-07-08 01:32:55,false
2019-07-08 01:34:10,false
2019-07-08 01:35:25,false
2019-07-08 05:00:55,false
2019-07-08 05:02:40,false
2019-07-08 06:33:10,false
2019-07-08 06:33:25,false
2019-07-08 06:36:25,false
2019-07-08 15:55:41,false
2019-07-08 19:21:42,false
2019-07-08 19:22:12,false
2019-07-08 19:53:42,false
2019-07-08 19:55:57,false
2019-07-09 15:58:14,false
2019-07-09 15:58:44,false
2019-07-10 01:39:30,false
2019-07-10 01:40:15,false
2019-07-10 04:59:30,false
2019-07-10 16:01:01,false
2019-07-10 16:01:31,false
2019-07-10 19:57:47,false
2019-07-10 19:58:47,false
2019-07-10 21:38:47,false
2019-07-10 21:41:02,false
2019-07-10 21:43:32,false
2019-07-11 01:03:31,false
2019-07-11 01:03:46,false
2019-07-11 01:05:31,false
2019-07-11 01:37:46,false
2019-07-11 01:41:16,false
2019-07-11 01:42:01,false
2019-07-11 02:44:46,false
2019-07-11 02:45:01,false
2019-07-11 05:04:47,false
2019-07-11 19:28:33,false
2019-07-11 20:54:33,false
2019-07-11 20:57:33,false
2019-07-11 20:59:33,false
2019-07-11 23:22:33,false
2019-07-11 23:23:48,false
2019-07-12 01:04:19,false
2019-07-12 01:05:04,false
2019-07-12 01:06:19,false
2019-07-12 01:45:19,false
2019-07-12 01:46:19,false
2019-07-12 04:59:19,false
2019-07-12 04:59:34,false
2019-07-12 05:02:34,false
2019-07-12 18:19:50,false
2019-07-12 18:20:05,false
2019-07-12 18:20:50,false
2019-07-12 19:57:36,false
2019-07-12 19:57:51,false
2019-07-12 19:58:36,false
2019-07-12 20:00:21,false
2019-07-12 20:01:36,false
2019-07-12 21:42:51,false
2019-07-12 21:43:21,false
2019-07-12 22:19:36,false
2019-07-12 23:21:03,false
2019-07-12 23:21:18,false
2019-07-12 23:23:03,false
2019-07-12 23:24:18,false
2019-07-12 23:25:48,false
2019-07-12 23:26:18,false
2019-07-12 23:26:33,false
2019-07-12 23:26:33,false
2019-07-12 23:27:18,false
2019-07-12 23:28:33,false
2019-07-13 01:02:48,false
2019-07-13 01:03:48,false
2019-07-13 01:05:48,false
2019-07-13 01:39:34,false
