Time,resets
2019-01-05 03:00:00,675.0
2019-01-06 03:00:00,677.0
2019-01-07 03:00:00,677.0
2019-01-08 03:00:00,678.0
2019-01-09 03:00:00,678.0
2019-01-10 03:00:00,679.0
2019-01-11 03:00:00,679.0
2019-01-12 03:00:00,680.0
2019-01-13 03:00:00,680.0
2019-01-14 03:00:00,682.0
2019-01-15 03:00:00,682.0
2019-01-16 03:00:00,683.0
2019-01-17 03:00:00,683.0
2019-01-18 03:00:00,684.0
2019-01-19 03:00:00,684.0
2019-01-20 03:00:00,685.0
2019-01-21 03:00:00,686.0
2019-01-22 03:00:00,686.0
2019-01-23 03:00:00,687.0
2019-01-24 03:00:00,687.0
2019-01-25 03:00:00,688.0
2019-01-26 03:00:00,688.0
2019-01-27 03:00:00,689.0
2019-01-28 03:00:00,689.0
2019-01-29 03:00:00,690.0
2019-01-30 03:00:00,690.0
2019-01-31 03:00:00,691.0
2019-02-01 03:00:00,691.0
2019-02-02 03:00:00,692.0
2019-02-03 03:00:00,692.0
2019-02-04 03:00:00,693.0
2019-02-05 03:00:00,694.0
2019-02-06 03:00:00,694.0
2019-02-07 03:00:00,695.0
2019-02-08 03:00:00,695.0
2019-02-09 03:00:00,696.0
2019-02-10 03:00:00,696.0
2019-02-11 03:00:00,697.0
2019-02-12 03:00:00,697.0
2019-02-13 03:00:00,698.0
2019-02-14 03:00:00,698.0
2019-02-15 03:00:00,699.0
2019-02-16 03:00:00,699.0
2019-02-17 03:00:00,700.0
2019-02-18 03:00:00,701.0
2019-02-19 03:00:00,701.0
2019-02-20 03:00:00,703.0
2019-02-21 03:00:00,703.0
2019-02-22 03:00:00,705.0
2019-02-23 03:00:00,705.0
2019-02-24 03:00:00,706.0
2019-02-25 03:00:00,706.0
2019-02-26 03:00:00,708.0
2019-02-27 03:00:00,708.0
2019-02-28 03:00:00,709.0
2019-03-01 03:00:00,709.0
2019-03-02 03:00:00,712.0
2019-03-03 03:00:00,714.0
2019-03-04 03:00:00,714.0
2019-03-05 03:00:00,716.0
2019-03-06 03:00:00,716.0
2019-03-07 03:00:00,717.0
2019-03-08 03:00:00,717.0
2019-03-09 03:00:00,718.0
2019-03-10 03:00:00,718.0
2019-03-11 03:00:00,719.0
2019-03-12 03:00:00,719.0
2019-03-13 03:00:00,720.0
2019-03-14 03:00:00,721.0
2019-03-15 03:00:00,721.0
2019-03-16 03:00:00,723.0
2019-03-17 03:00:00,723.0
2019-03-18 03:00:00,724.0
2019-03-19 03:00:00,724.0
2019-03-20 03:00:00,725.0
2019-03-21 03:00:00,725.0
2019-03-22 03:00:00,726.0
2019-03-23 03:00:00,726.0
2019-03-24 03:00:00,727.0
2019-03-25 03:00:00,727.0
2019-03-26 03:00:00,728.0
2019-03-27 03:00:00,728.0
2019-03-28 03:00:00,729.0
2019-03-29 03:00:00,730.0
2019-03-30 03:00:00,730.0
2019-03-31 03:00:00,730.0
2019-04-01 03:00:00,731.0
2019-04-02 03:00:00,732.0
2019-04-03 03:00:00,732.0
2019-04-04 03:00:00,733.0
2019-04-05 03:00:00,733.0
2019-04-06 03:00:00,734.0
2019-04-07 03:00:00,734.0
2019-04-08 03:00:00,735.0
2019-04-09 03:00:00,736.0
2019-04-10 03:00:00,737.0
2019-04-11 03:00:00,737.0
2019-04-12 03:00:00,738.0
2019-04-13 03:00:00,738.0
2019-04-14 03:00:00,739.0
2019-04-15 03:00:00,742.0
2019-04-16 03:00:00,742.0
2019-04-17 03:00:00,743.0
2019-04-18 03:00:00,743.0
2019-04-19 03:00:00,744.0
2019-04-20 03:00:00,744.0
2019-04-21 03:00:00,745.0
2019-04-22 03:00:00,745.0
2019-04-23 03:00:00,746.0
2019-04-24 03:00:00,746.0
2019-04-25 03:00:00,747.0
2019-04-26 03:00:00,747.0
2019-04-27 03:00:00,748.0
2019-04-28 03:00:00,749.0
2019-04-29 03:00:00,749.0
2019-04-30 03:00:00,750.0
2019-05-01 03:00:00,750.0
2019-05-02 03:00:00,751.0
2019-05-03 03:00:00,751.0
2019-05-04 03:00:00,754.0
2019-05-05 03:00:00,754.0
2019-05-06 03:00:00,755.0
2019-05-07 03:00:00,755.0
2019-05-08 03:00:00,756.0
2019-05-09 03:00:00,756.0
2019-05-10 03:00:00,757.0
2019-05-11 03:00:00,757.0
2019-05-12 03:00:00,758.0
2019-05-13 03:00:00,759.0
2019-05-14 03:00:00,759.0
2019-05-15 03:00:00,760.0
2019-05-16 03:00:00,760.0
2019-05-17 03:00:00,762.0
2019-05-18 03:00:00,762.0
2019-05-19 03:00:00,763.0
2019-05-20 03:00:00,763.0
2019-05-21 03:00:00,764.0
2019-05-22 03:00:00,764.0
2019-05-23 03:00:00,766.0
2019-05-24 03:00:00,767.0
2019-05-25 03:00:00,767.0
2019-05-26 03:00:00,767.0
2019-05-27 03:00:00,768.0
2019-05-28 03:00:00,771.0
2019-05-29 03:00:00,771.0
2019-05-30 03:00:00,772.0
2019-05-31 03:00:00,772.0
2019-06-01 03:00:00,773.0
2019-06-02 03:00:00,773.0
2019-06-03 03:00:00,774.0
2019-06-04 03:00:00,774.0
2019-06-05 03:00:00,777.0
2019-06-06 03:00:00,778.0
2019-06-07 03:00:00,778.0
2019-06-08 03:00:00,779.0
2019-06-09 03:00:00,779.0
2019-06-10 03:00:00,779.0
2019-06-11 03:00:00,780.0
2019-06-12 03:00:00,781.0
2019-06-13 03:00:00,781.0
2019-06-14 03:00:00,782.0
2019-06-15 03:00:00,782.0
2019-06-16 03:00:00,783.0
2019-06-17 03:00:00,783.0
2019-06-18 03:00:00,785.0
2019-06-19 03:00:00,785.0
2019-06-20 03:00:00,790.0
2019-06-21 03:00:00,791.0
2019-06-22 03:00:00,791.0
2019-06-23 03:00:00,791.0
2019-06-24 03:00:00,792.0
2019-06-25 03:00:00,793.0
2019-06-26 03:00:00,793.0
2019-06-27 03:00:00,794.0
2019-06-28 03:00:00,794.0
2019-06-29 03:00:00,795.0
2019-06-30 03:00:00,795.0
2019-07-01 03:00:00,797.0
2019-07-02 03:00:00,797.0
2019-07-03 03:00:00,798.0
2019-07-04 03:00:00,799.0
2019-07-05 03:00:00,799.0
2019-07-06 03:00:00,799.0
2019-07-07 03:00:00,800.0
